,,,,m,m,,,,g
FieldID,Column,Row2,ID2,Northing,Easting,Year,SampleID,Crop,GrainWeightWet
CookEast,14,H,183,5180802.287,493623.2698,2008,,winter wheat,207
CookEast,15,H,184,5180793.474,493655.169,2008,,winter wheat,60
CookEast,16,H,185,5180801.108,493687.0856,2008,,winter wheat,104
CookEast,17,H,186,5180805.186,493718.9983,2008,,winter wheat,31
CookEast,18,H,187,5180783.151,493750.8839,2008,,winter wheat,285
CookEast,19,H,188,5180798.563,493782.8084,2008,,winter wheat,615
CookEast,20,H,189,5180798.753,493814.7171,2008,,winter wheat,1118
CookEast,21,H,190,5180782.718,493846.6092,2008,,Fallow,
CookEast,22,H,191,5180811.911,493878.5476,2008,,Fallow,
CookEast,23,H,192,5180808.656,493910.4527,2008,,Garbonzo Beans,
CookEast,24,H,193,5180804.623,493942.3571,2008,,spring barley,745
CookEast,25,H,194,5180793.536,493976.0776,2008,,winter barley,823
CookEast,26,H,195,5180797.114,494006.1665,2008,,winter barley,861
CookEast,27,H,196,5180797.638,494038.0756,2008,,spring canola,302
CookEast,28,H,197,5180790.605,494069.9771,2008,,spring pea,221
CookEast,29,H,198,5180808.798,494101.9036,2008,,spring pea,270
CookEast,30,H,199,5180783.653,494133.7875,2008,,spring pea,410
CookEast,7,I,200,5180837.446,493387.3387,2008,,spring wheat,
CookEast,8,I,201,5180836.958,493416.666,2008,,spring wheat,50
CookEast,9,I,202,5180826.366,493448.5627,2008,,spring wheat,276
CookEast,10,I,203,5180839.444,493480.4853,2008,,spring wheat,369
CookEast,11,I,204,5180822.519,493512.3753,2008,,winter canola,207
CookEast,12,I,205,5180832.374,493544.2943,2008,,spring wheat,319
CookEast,13,I,206,5180827.117,493576.197,2008,,spring wheat,202
CookEast,14,I,207,5180835.683,493606.5134,2008,,spring wheat,241
CookEast,15,I,208,5180825.271,493640.0118,2008,,winter wheat,400
CookEast,16,I,209,5180832.905,493671.9282,2008,,winter wheat,899
CookEast,17,I,210,5180836.983,493703.8408,2008,,winter wheat,566
CookEast,18,I,211,5180814.947,493735.7261,2008,,winter wheat,7
CookEast,19,I,212,5180830.36,493767.6505,2008,,winter wheat,257
CookEast,20,I,213,5180830.549,493799.5591,2008,,winter wheat,335
CookEast,21,I,214,5180814.515,493831.4509,2008,,winter wheat,1080
CookEast,22,I,215,5180844.162,493859.7475,2008,,winter wheat,1111
CookEast,23,I,216,5180840.452,493895.2942,2008,,Fallow,
CookEast,24,I,217,5180836.419,493927.1984,2008,,Garbonzo Beans,349
CookEast,25,I,218,5180827.609,493959.0978,2008,,spring barley,749
CookEast,26,I,219,5180828.91,493991.0075,2008,,spring barley,788
CookEast,27,I,220,5180829.434,494022.9164,2008,,winter barley,921
CookEast,28,I,221,5180822.401,494054.8177,2008,,spring canola,399
CookEast,29,I,222,5180840.594,494086.744,2008,,spring canola,438
CookEast,30,I,223,5180815.449,494118.6277,2008,,spring pea,396
CookEast,31,I,224,5180829.197,494150.5495,2008,,spring pea,388
CookEast,7,J,225,5180872.077,493412.6587,2008,,spring wheat,
CookEast,8,J,226,5180867.109,493445.7627,2008,,spring wheat,425
CookEast,9,J,227,5180856.118,493478.459,2008,,spring wheat,510
CookEast,10,J,228,5180871.195,493508.3822,2008,,spring wheat,389
CookEast,11,J,229,5180854.27,493540.2721,2008,,winter canola,188
CookEast,12,J,230,5180864.125,493572.1908,2008,,spring wheat,624
CookEast,13,J,231,5180858.868,493604.0934,2008,,spring wheat,372
CookEast,14,J,232,5180861.321,493642.6259,2008,,winter wheat,503
CookEast,15,J,233,5180857.023,493667.9079,2008,,winter wheat,729
CookEast,16,J,234,5180864.657,493699.8241,2008,,winter wheat,1032
CookEast,17,J,235,5180868.735,493731.7365,2008,,winter wheat,839
CookEast,18,J,236,5180846.699,493763.6217,2008,,winter wheat,572
CookEast,19,J,237,5180860.384,493798.2411,2008,,winter wheat,984
CookEast,20,J,238,5180862.302,493827.4543,2008,,winter wheat,986
CookEast,21,J,239,5180848.088,493858.4356,2008,,winter wheat,993
CookEast,22,J,240,5180880.618,493884.7605,2008,,winter wheat,516
CookEast,23,J,241,5180872.205,493923.1888,2008,,Fallow,
CookEast,24,J,242,5180868.172,493955.0929,2008,,Garbonzo Beans,504
CookEast,25,J,243,5180859.362,493986.9922,2008,,spring barley,870
CookEast,26,J,244,5180863.394,494016.1704,2008,,spring barley,933
CookEast,27,J,245,5180861.187,494050.8104,2008,,winter barley,893
CookEast,28,J,246,5180854.155,494082.7116,2008,,spring canola,405
CookEast,29,J,247,5180872.347,494114.6377,2008,,spring canola,428
CookEast,30,J,248,5180849.023,494145.1556,2008,,spring pea,557
CookEast,9,K,249,5180889.931,493445.5787,2008,,spring wheat,308
CookEast,10,K,250,5180903.009,493477.501,2008,,spring wheat,515
CookEast,11,K,251,5180886.084,493509.3906,2008,,spring wheat,543
CookEast,12,K,252,5180893.14,493543.7083,2008,,winter canola,208
CookEast,13,K,253,5180890.682,493573.2116,2008,,winter canola,417
CookEast,14,K,254,5180897.649,493605.1271,2008,,spring wheat,496
CookEast,15,K,255,5180888.836,493637.0257,2008,,spring wheat,562
CookEast,16,K,256,5180896.47,493668.9418,2008,,winter wheat,1015
CookEast,17,K,257,5180900.548,493700.8541,2008,,winter wheat,951
CookEast,18,K,258,5180878.512,493732.7391,2008,,winter wheat,840
CookEast,19,K,259,5180893.925,493764.6632,2008,,winter wheat,874
CookEast,20,K,260,5180894.114,493796.5714,2008,,winter wheat,821
CookEast,21,K,261,5180878.08,493828.4629,2008,,winter wheat,1097
CookEast,22,K,262,5180907.272,493860.4008,2008,,winter wheat,660
CookEast,23,K,263,5180904.017,493892.3054,2008,,winter wheat,1044
CookEast,24,K,264,5180899.984,493924.2093,2008,,Fallow,
CookEast,25,K,265,5180890.263,493957.4741,2008,,Garbonzo Beans,68
CookEast,26,K,266,5180892.475,493988.0177,2008,,Garbonzo Beans,341
CookEast,27,K,267,5180892.999,494019.9263,2008,,spring barley,765
CookEast,28,K,268,5180885.966,494051.8273,2008,,winter barley,1139
CookEast,29,K,269,5180904.159,494083.7533,2008,,winter barley,469
CookEast,30,K,270,5180879.014,494115.6366,2008,,spring canola,353
CookEast,31,K,271,5180892.762,494147.5581,2008,,spring pea,155
CookEast,9,L,272,5180921.689,493466.5291,2008,,spring wheat,142
CookEast,10,L,273,5180934.767,493498.4511,2008,,spring wheat,509
CookEast,11,L,274,5180917.842,493530.3407,2008,,spring wheat,707
CookEast,12,L,275,5180928.897,493560.6597,2008,,spring wheat,678
CookEast,13,L,276,5180922.441,493594.1613,2008,,winter canola,313
CookEast,14,L,277,5180929.408,493626.0766,2008,,spring wheat,622
CookEast,15,L,278,5180920.595,493657.9751,2008,,spring wheat,720
CookEast,16,L,279,5180926.713,493690.9522,2008,,winter wheat,923
CookEast,17,L,280,5180932.307,493721.8031,2008,,winter wheat,1129
CookEast,18,L,281,5180909.472,493754.8875,2008,,winter wheat,764
CookEast,19,L,282,5180925.684,493785.6118,2008,,winter wheat,901
CookEast,20,L,283,5180925.874,493817.5198,2008,,winter wheat,986
CookEast,21,L,284,5180909.839,493849.4113,2008,,winter wheat,893
CookEast,22,L,285,5180939.032,493881.3489,2008,,winter wheat,673
CookEast,23,L,286,5180935.777,493913.2534,2008,,winter wheat,817
CookEast,24,L,287,5180931.744,493945.1571,2008,,Fallow,
CookEast,25,L,288,5180920.051,493979.787,2008,,Garbonzo Beans,353
CookEast,26,L,289,5180924.235,494008.9652,2008,,Garbonzo Beans,22
CookEast,27,L,290,5180924.759,494040.8736,2008,,spring barley,823
CookEast,28,L,291,5180917.726,494072.7745,2008,,winter barley,747
CookEast,29,L,292,5180935.919,494104.7002,2008,,winter barley,981
CookEast,30,L,293,5180910.774,494136.5834,2008,,spring canola,237
CookEast,9,M,297,5180953.466,493470.6857,2008,,spring wheat,
CookEast,10,M,298,5180966.544,493502.6076,2008,,spring wheat,455
CookEast,11,M,299,5180949.619,493534.497,2008,,spring wheat,606
CookEast,12,M,300,5180959.474,493566.4152,2008,,spring wheat,653
CookEast,13,M,301,5180954.217,493598.3173,2008,,winter canola,285
CookEast,14,M,302,5180959.585,493631.4319,2008,,spring wheat,520
CookEast,15,M,303,5180951.172,493663.3302,2008,,spring wheat,627
CookEast,16,M,304,5180960.006,493694.0464,2008,,spring wheat,535
CookEast,17,M,305,5180964.084,493725.9584,2008,,winter wheat,718
CookEast,18,M,306,5180942.048,493757.8431,2008,,winter wheat,565
CookEast,19,M,307,5180957.461,493789.7668,2008,,winter wheat,932
CookEast,20,M,308,5180957.65,493821.6746,2008,,winter wheat,1065
CookEast,21,M,309,5180939.617,493855.1652,2008,,winter wheat,972
CookEast,22,M,310,5180970.809,493885.5034,2008,,winter wheat,522
CookEast,23,M,311,5180967.554,493917.4077,2008,,winter wheat,807
CookEast,24,M,312,5180965.797,493946.5799,2008,,winter wheat,829
CookEast,25,M,313,5180954.71,493981.21,2008,,Fallow,
CookEast,26,M,314,5180956.012,494013.119,2008,,Garbonzo Beans,362
CookEast,27,M,315,5180958.356,494042.7511,2008,,spring barley,429
CookEast,28,M,316,5180949.503,494076.9279,2008,,spring barley,419
CookEast,10,N,323,5180997.268,493501.3263,2008,,spring wheat,
CookEast,11,N,324,5180981.404,493530.6382,2008,,spring wheat,557
CookEast,12,N,325,5180991.259,493562.5563,2008,,spring wheat,599
CookEast,13,N,326,5180986.002,493594.4582,2008,,spring wheat,664
CookEast,14,N,327,5180992.969,493626.3731,2008,,winter canola,366
CookEast,15,N,328,5180984.157,493658.2713,2008,,spring wheat,848
CookEast,16,N,329,5180990.991,493691.3863,2008,,spring wheat,630
CookEast,17,N,330,5180995.869,493722.0986,2008,,spring wheat,702
CookEast,18,N,331,5180973.833,493753.9831,2008,,winter wheat,889
CookEast,19,N,332,5180989.246,493785.9066,2008,,winter wheat,851
CookEast,20,N,333,5180989.435,493817.8143,2008,,winter wheat,956
CookEast,21,N,334,5180973.401,493849.7054,2008,,winter wheat,1028
CookEast,22,N,335,5181002.593,493881.6427,2008,,winter wheat,607
CookEast,23,N,336,5180999.338,493913.5469,2008,,winter wheat,834
CookEast,24,N,337,5180995.306,493945.4502,2008,,winter wheat,560
CookEast,25,N,338,5180985.889,493977.9553,2008,,Garbonzo Beans,378
CookEast,11,O,348,5181013.174,493540.9011,2008,,spring wheat,404
CookEast,12,O,349,5181023.029,493572.819,2008,,spring wheat,441
CookEast,13,O,350,5181017.773,493604.7208,2008,,spring wheat,474
CookEast,14,O,351,5181024.739,493636.6355,2008,,winter canola,328
CookEast,15,O,352,5181014.328,493670.5327,2008,,spring wheat,585
CookEast,16,O,353,5181023.561,493700.4489,2008,,spring wheat,717
CookEast,17,O,354,5181027.639,493732.3605,2008,,spring wheat,415
CookEast,18,O,355,5181005.603,493764.2449,2008,,winter wheat,833
CookEast,19,O,356,5181021.016,493796.1682,2008,,winter wheat,1141
CookEast,20,O,357,5181021.206,493828.0757,2008,,winter wheat,707
CookEast,21,O,358,5181003.956,493861.7152,2008,,winter wheat,628
CookEast,22,O,359,5181034.364,493891.9038,2008,,winter wheat,663
CookEast,23,O,360,5181031.109,493923.8077,2008,,winter wheat,399
CookEast,12,P,371,5181049.809,493570.4942,2008,,spring wheat,422
CookEast,13,P,372,5181049.555,493603.457,2008,,spring wheat,694
CookEast,14,P,373,5181056.522,493635.3715,2008,,spring wheat,569
CookEast,15,P,374,5181047.709,493667.2694,2008,,winter canola,336
CookEast,16,P,375,5181054.144,493700.3841,2008,,spring wheat,541
CookEast,17,P,376,5181059.421,493731.096,2008,,spring wheat,791
CookEast,18,P,377,5181033.528,493767.3783,2008,,winter wheat,1141
CookEast,19,P,378,5181052.799,493794.9034,2008,,winter wheat,1053
CookEast,20,P,379,5181052.988,493826.8107,2008,,winter wheat,758
CookEast,21,P,380,5181036.954,493858.7015,2008,,winter wheat,540
CookEast,22,P,381,5181066.146,493890.6385,2008,,winter wheat,509
CookEast,13,Q,394,5181067.549,493594.9384,2008,,spring wheat,509
CookEast,14,Q,395,5181088.312,493626.398,2008,,spring wheat,506
CookEast,15,Q,396,5181079.5,493658.2957,2008,,spring wheat,571
CookEast,16,Q,397,5181087.133,493690.2107,2008,,winter canola,203
CookEast,17,Q,398,5181093.211,493719.7229,2008,,winter canola,242
CookEast,18,Q,399,5181069.176,493754.006,2008,,spring wheat,575
CookEast,19,Q,400,5181084.589,493785.929,2008,,spring wheat,756
CookEast,20,Q,401,5181084.778,493817.8362,2008,,winter wheat,500
CookEast,21,Q,402,5181068.744,493849.7268,2008,,winter wheat,754
CookEast,15,R,419,5181104.302,493648.3558,2008,,spring wheat,367
CookEast,16,R,420,5181110.736,493681.925,2008,,spring wheat,353
CookEast,17,R,421,5181114.814,493712.7748,2008,,winter canola,168
CookEast,18,R,422,5181100.965,493745.8715,2008,,spring wheat,318
CookEast,19,R,423,5181114.779,493780.1935,2008,,spring wheat,752
CookEast,20,R,424,5181116.567,493809.7014,2008,,spring wheat,1023
CookEast,21,R,425,5181100.533,493841.5918,2008,,winter wheat,345
