,,,,m,m,,,,g
FieldID,Column,Row2,ID2,Northing,Easting,Year,SampleID,Crop,GrainWeightWet
CookEast,5,A,1,5180579.262,493319.2802,1999,,SW,448.74
CookEast,6,A,2,5180575.071,493353.586,1999,,SW,493.24
CookEast,7,A,3,5180586.081,493383.107,1999,,SW,518.86
CookEast,8,A,4,5180582.712,493415.013,1999,,SW,587.61
CookEast,9,A,5,5180572.12,493446.9111,1999,,SW,693.97
CookEast,10,A,6,5180583.999,493479.2349,1999,,SW,522.21
CookEast,11,A,7,5180568.273,493510.7264,1999,,SW,616.96
CookEast,12,A,8,5180578.128,493542.6467,1999,,SW,372.85
CookEast,13,A,9,5180572.871,493574.5508,1999,,SW,478.84
CookEast,14,A,10,5180579.838,493606.4679,1999,,SW,450.87
CookEast,15,A,11,5180571.025,493638.3683,1999,,SW,489.34
CookEast,16,A,12,5180579.114,493668.4667,1999,,SW,487.52
CookEast,17,A,13,5180582.737,493702.2,1999,,SW,512.23
CookEast,19,A,14,5180574.293,493768.2885,1999,,SW,520.76
CookEast,20,A,15,5180576.303,493797.9223,1999,,SW,519.8
CookEast,22,A,16,5180589.461,493861.7552,1999,,SW,676.22
CookEast,23,A,17,5180586.206,493893.6615,1999,,SW,775.04
CookEast,1,B,18,5180604.13,493215.0201,1999,,SW,560.64
CookEast,2,B,19,5180590.191,493246.5977,1999,,SW,409.23
CookEast,3,B,20,5180594.644,493277.311,1999,,SW,394.62
CookEast,4,B,21,5180591.83,493309.2174,1999,,SW,539.39
CookEast,5,B,22,5180611.018,493341.1483,1999,,SW,330.12
CookEast,6,B,23,5180609.627,493371.4556,1999,,SW,420.74
CookEast,7,B,24,5180617.838,493404.9749,1999,,SW,471.08
CookEast,8,B,25,5180614.469,493436.8807,1999,,SW,643.64
CookEast,9,B,26,5180603.878,493468.7786,1999,,SW,682.76
CookEast,10,B,27,5180616.156,493502.3017,1999,,SW,667.38
CookEast,11,B,28,5180600.03,493532.5936,1999,,SW,570.8
CookEast,12,B,29,5180609.886,493564.5137,1999,,SW,565.26
CookEast,13,B,30,5180604.629,493596.4176,1999,,SW,552.81
CookEast,14,B,31,5180611.596,493628.3346,1999,,SW,593.68
CookEast,15,B,32,5180602.783,493660.2348,1999,,SW,499.97
CookEast,16,B,33,5180610.417,493692.1523,1999,,SW,305.09
CookEast,17,B,34,5180614.495,493724.0661,1999,,SW,534.61
CookEast,18,B,35,5180592.46,493755.9527,1999,,SW,375.12
CookEast,19,B,36,5180609.693,493785.6022,1999,,SW,
CookEast,20,B,37,5180608.062,493819.788,1999,,SW,
CookEast,21,B,38,5180592.027,493851.6811,1999,,SW,660.93
CookEast,22,B,39,5180621.22,493883.6204,1999,,SW,
CookEast,23,B,40,5180617.965,493915.5266,1999,,SW,
CookEast,24,B,41,5180613.932,493947.432,1999,,SW,686.02
CookEast,2,C,42,5180622.077,493228.3181,1999,,SW,706.69
CookEast,3,C,43,5180626.446,493257.9566,1999,,SW,714.13
CookEast,4,C,44,5180623.632,493289.8629,1999,,SW,462.95
CookEast,5,C,45,5180641.411,493323.2034,1999,,SW,371.82
CookEast,6,C,46,5180640.23,493353.7002,1999,,SW,444.82
CookEast,7,C,47,5180649.64,493385.6199,1999,,SW,518.5
CookEast,8,C,48,5180646.271,493417.5255,1999,,SW,659.78
CookEast,9,C,49,5180635.68,493449.4233,1999,,SW,768.08
CookEast,10,C,50,5180644.888,493485.6536,1999,,SW,774.49
CookEast,11,C,51,5180631.032,493514.0376,1999,,SW,576.05
CookEast,12,C,52,5180641.688,493545.1579,1999,,SW,732.8
CookEast,13,C,53,5180636.431,493577.0616,1999,,SW,656.87
CookEast,14,C,54,5180643.397,493608.9784,1999,,SW,522.56
CookEast,15,C,55,5180634.585,493640.8784,1999,,SW,478.17
CookEast,16,C,56,5180643.584,493671.4302,1999,,SW,664.18
CookEast,17,C,57,5180646.296,493704.7095,1999,,SW,464.91
CookEast,18,C,58,5180624.261,493736.5958,1999,,SW,591.85
CookEast,19,C,59,5180636.942,493770.7974,1999,,SW,328.83
CookEast,20,C,60,5180639.863,493800.4308,1999,,SW,
CookEast,21,C,61,5180623.828,493832.3237,1999,,SW,
CookEast,22,C,62,5180655.297,493862.4421,1999,,SW,434.32
CookEast,23,C,63,5180649.766,493896.169,1999,,SW,632.28
CookEast,24,C,64,5180645.733,493928.0742,1999,,SW,567.58
CookEast,25,C,65,5180636.922,493959.9746,1999,,SW,632.04
CookEast,26,C,66,5180640.5,493989.6092,1999,,SW,599.49
CookEast,27,C,67,5180638.747,494023.7952,1999,,SW,721.36
CookEast,3,D,68,5180658.22,493264.6337,1999,,SW,615.07
CookEast,4,D,69,5180655.406,493296.5399,1999,,SW,490.93
CookEast,5,D,70,5180674.594,493328.4705,1999,,SW,528.56
CookEast,6,D,71,5180672.003,493360.3768,1999,,SW,386.62
CookEast,7,D,72,5180681.413,493392.2963,1999,,SW,511.96
CookEast,8,D,73,5180680.044,493421.8027,1999,,SW,586.53
CookEast,9,D,74,5180665.854,493458.4984,1999,,SW,749.43
CookEast,10,D,75,5180680.531,493488.0228,1999,,SW,600.58
