,,,,m,m,,,,g
CookEast,11,D,76,5180663.606,493519.9137,1999,,SW,646.62
CookEast,12,D,77,5180673.461,493551.8335,1999,,SW,485.58
CookEast,13,D,78,5180668.204,493583.737,1999,,SW,652.22
CookEast,14,D,79,5180675.171,493615.6537,1999,,SW,451.54
CookEast,15,D,80,5180666.359,493647.5535,1999,,SW,620.62
CookEast,16,D,81,5180673.992,493679.4708,1999,,SW,609.21
CookEast,17,D,82,5180678.07,493711.3842,1999,,SW,414.26
CookEast,18,D,83,5180656.035,493743.2704,1999,,SW,426.23
CookEast,19,D,84,5180671.448,493775.1956,1999,,SW,424.78
CookEast,20,D,85,5180671.637,493807.105,1999,,SW,521.78
CookEast,21,D,86,5180655.602,493838.9978,1999,,SW,526.78
CookEast,22,D,87,5180684.795,493870.9368,1999,,SW,474.03
CookEast,23,D,88,5180681.54,493902.8426,1999,,SW,452.87
CookEast,24,D,89,5180676.141,493935.2029,1999,,SW,456.35
CookEast,25,D,90,5180668.696,493966.648,1999,,SW,486.32
CookEast,26,D,91,5180669.998,493998.5585,1999,,SW,645.97
CookEast,27,D,92,5180670.521,494030.4682,1999,,SW,729.15
CookEast,28,D,93,5180663.489,494062.3704,1999,,SW,590.57
CookEast,29,D,94,5180681.682,494094.2976,1999,,SW,394.34
CookEast,3,E,95,5180689.078,493276.7264,1999,,SW,589.31
CookEast,4,E,96,5180687.174,493308.026,1999,,SW,684.87
CookEast,5,E,97,5180706.363,493339.9564,1999,,SW,541.83
CookEast,6,E,98,5180703.771,493371.8625,1999,,SW,553.2
CookEast,7,E,99,5180713.182,493403.7819,1999,,SW,522.08
CookEast,8,E,100,5180709.813,493435.6872,1999,,SW,565.53
CookEast,9,E,101,5180699.222,493467.5846,1999,,SW,487.74
CookEast,10,E,102,5180712.299,493499.5078,1999,,SW,385.13
CookEast,11,E,103,5180695.374,493531.3986,1999,,SW,489.1
CookEast,12,E,104,5180707.229,493561.319,1999,,SW,634.89
CookEast,13,E,105,5180699.973,493595.2216,1999,,SW,
CookEast,14,E,106,5180706.94,493627.1381,1999,,SW,553.67
CookEast,15,E,107,5180698.127,493659.0377,1999,,SW,
CookEast,16,E,108,5180705.761,493690.9548,1999,,SW,579.4
CookEast,17,E,109,5180706.699,493725.5766,1999,,SW,694.27
CookEast,18,E,110,5180683.404,493759.1536,1999,,SW,400.34
CookEast,19,E,111,5180703.217,493786.6792,1999,,SW,393.02
CookEast,20,E,112,5180703.406,493818.5884,1999,,SW,528.18
CookEast,21,E,113,5180685.551,493851.8467,1999,,SW,470.42
CookEast,22,E,114,5180716.564,493882.4199,1999,,SW,340.13
CookEast,23,E,115,5180711.488,493915.6912,1999,,SW,511.78
CookEast,24,E,116,5180709.276,493946.2304,1999,,SW,463.2
CookEast,25,E,117,5180700.466,493978.1305,1999,,SW,569.34
CookEast,26,E,118,5180701.767,494010.0409,1999,,SW,432.63
CookEast,27,E,119,5180700.47,494044.2265,1999,,SW,550.67
CookEast,28,E,120,5180695.259,494073.8525,1999,,SW,532.94
CookEast,29,E,121,5180713.451,494105.7794,1999,,SW,257.91
CookEast,4,F,122,5180718.958,493305.3133,1999,,SW,736.65
CookEast,5,F,123,5180738.147,493337.2435,1999,,SW,701.43
CookEast,6,F,124,5180735.555,493369.1495,1999,,SW,522.13
CookEast,7,F,125,5180744.966,493401.0687,1999,,SW,543.84
CookEast,8,F,126,5180740.797,493434.1733,1999,,SW,419.26
CookEast,9,F,127,5180730.206,493466.0706,1999,,SW,414.02
CookEast,10,F,128,5180744.083,493496.7941,1999,,SW,549.99
CookEast,11,F,129,5180727.158,493528.6847,1999,,SW,477.59
CookEast,12,F,130,5180737.014,493560.6042,1999,,SW,
CookEast,13,F,131,5180731.757,493592.5074,1999,,SW,256.06
CookEast,14,F,132,5180738.724,493624.4237,1999,,SW,512.11
CookEast,15,F,133,5180729.911,493656.3232,1999,,SW,583.53
CookEast,16,F,134,5180737.545,493688.2401,1999,,SW,486.55
CookEast,17,F,135,5180741.623,493720.1532,1999,,SW,524.64
CookEast,18,F,136,5180719.588,493752.0391,1999,,SW,609.27
CookEast,19,F,137,5180736.366,493782.1431,1999,,SW,575.87
CookEast,20,F,138,5180735.19,493815.873,1999,,SW,341.33
CookEast,21,F,139,5180719.155,493847.7654,1999,,SW,386.86
CookEast,22,F,140,5180748.348,493879.7041,1999,,SW,366.02
CookEast,23,F,141,5180745.093,493911.6096,1999,,SW,377.38
CookEast,24,F,142,5180741.06,493943.5143,1999,,SW,430.7
CookEast,25,F,143,5180731.339,493976.78,1999,,SW,425.8
CookEast,26,F,144,5180733.551,494007.3245,1999,,SW,399.54
CookEast,27,F,145,5180734.075,494039.2338,1999,,SW,376.78
CookEast,28,F,146,5180727.042,494071.1357,1999,,SW,396.47
CookEast,29,F,147,5180745.235,494103.0625,1999,,SW,332.64
CookEast,30,F,148,5180720.09,494134.9467,1999,,SW,524
CookEast,6,G,149,5180767.357,493350.8639,1999,,SW,921.44
CookEast,7,G,150,5180776.767,493382.7829,1999,,SW,691.78
CookEast,8,G,151,5180770.999,493417.8866,1999,,SW,518.39
CookEast,9,G,152,5180761.607,493447.7845,1999,,SW,465.29
CookEast,10,G,153,5180775.884,493478.5079,1999,,SW,266.15
CookEast,11,G,154,5180758.959,493510.3982,1999,,SW,360.96
CookEast,12,G,155,5180768.814,493542.3175,1999,,SW,454.84
CookEast,13,G,156,5180763.557,493574.2206,1999,,SW,582.73
CookEast,14,G,157,5180770.524,493606.1367,1999,,SW,395.7
CookEast,15,G,158,5180761.711,493638.036,1999,,SW,357.13
CookEast,16,G,159,5180769.345,493669.9528,1999,,SW,414.92
CookEast,17,G,160,5180773.423,493701.8657,1999,,SW,396.53
CookEast,18,G,161,5180751.388,493733.7514,1999,,SW,278.83
CookEast,19,G,162,5180765.435,493767.497,1999,,SW,232.76
CookEast,20,G,163,5180766.989,493797.585,1999,,SW,241.72
CookEast,21,G,164,5180750.955,493829.4772,1999,,SW,305.91
CookEast,22,G,165,5180780.147,493861.4158,1999,,SW,351.17
CookEast,23,G,166,5180776.892,493893.3211,1999,,SW,397.78
CookEast,24,G,167,5180772.86,493925.2257,1999,,SW,410.04
CookEast,25,G,168,5180764.049,493957.1254,1999,,SW,356.59
CookEast,26,G,169,5180765.35,493989.0354,1999,,SW,245.33
CookEast,27,G,170,5180765.874,494020.9446,1999,,SW,209.65
CookEast,28,G,171,5180758.841,494052.8464,1999,,SW,343
CookEast,29,G,172,5180777.034,494084.773,1999,,SW,388.33
CookEast,30,G,173,5180751.889,494116.657,1999,,SW,362.29
CookEast,31,G,174,5180765.637,494148.5791,1999,,SW,572.08
CookEast,6,H,175,5180799.119,493367.9983,1999,,SW,825.91
CookEast,7,H,176,5180809.416,493398.7136,1999,,SW,712.15
CookEast,8,H,177,5180805.16,493431.822,1999,,SW,540.44
CookEast,9,H,178,5180794.569,493463.7189,1999,,SW,575.01
CookEast,10,H,179,5180807.646,493495.6416,1999,,SW,535
CookEast,11,H,180,5180790.721,493527.5319,1999,,SW,543.11
CookEast,12,H,181,5180800.577,493559.451,1999,,SW,634.65
CookEast,13,H,182,5180793.198,493593.7796,1999,,SW,466.23
CookEast,14,H,183,5180802.287,493623.2698,1999,,SW,719.84
CookEast,15,H,184,5180793.474,493655.169,1999,,SW,383.65
CookEast,16,H,185,5180801.108,493687.0856,1999,,SW,554
CookEast,17,H,186,5180805.186,493718.9983,1999,,SW,561.93
CookEast,18,H,187,5180783.151,493750.8839,1999,,SW,249.4
CookEast,19,H,188,5180798.563,493782.8084,1999,,SW,263.94
CookEast,20,H,189,5180798.753,493814.7171,1999,,SW,585.95
CookEast,21,H,190,5180782.718,493846.6092,1999,,SW,444.59
CookEast,22,H,191,5180811.911,493878.5476,1999,,SW,459.45
CookEast,23,H,192,5180808.656,493910.4527,1999,,SW,416.34
CookEast,24,H,193,5180804.623,493942.3571,1999,,SW,526.1
CookEast,25,H,194,5180793.536,493976.0776,1999,,SW,387.01
CookEast,26,H,195,5180797.114,494006.1665,1999,,SW,334.63
CookEast,27,H,196,5180797.638,494038.0756,1999,,SW,488.94
CookEast,28,H,197,5180790.605,494069.9771,1999,,SW,273.8
CookEast,29,H,198,5180808.798,494101.9036,1999,,SW,507
CookEast,30,H,199,5180783.653,494133.7875,1999,,SW,424.24
CookEast,7,I,200,5180837.446,493387.3387,1999,,SW,691.91
CookEast,8,I,201,5180836.958,493416.666,1999,,SW,441.66
CookEast,9,I,202,5180826.366,493448.5627,1999,,SW,440.13
CookEast,10,I,203,5180839.444,493480.4853,1999,,SW,391.75
CookEast,11,I,204,5180822.519,493512.3753,1999,,SW,707.26
CookEast,12,I,205,5180832.374,493544.2943,1999,,SW,656.79
CookEast,13,I,206,5180827.117,493576.197,1999,,SW,495.78
CookEast,14,I,207,5180835.683,493606.5134,1999,,SW,578.11
CookEast,15,I,208,5180825.271,493640.0118,1999,,SW,382.32
CookEast,16,I,209,5180832.905,493671.9282,1999,,SW,410.24
CookEast,17,I,210,5180836.983,493703.8408,1999,,SW,677.04
CookEast,18,I,211,5180814.947,493735.7261,1999,,SW,440.16
CookEast,19,I,212,5180830.36,493767.6505,1999,,SW,716.36
CookEast,20,I,213,5180830.549,493799.5591,1999,,SW,
CookEast,21,I,214,5180814.515,493831.4509,1999,,SW,528.68
CookEast,22,I,215,5180844.162,493859.7475,1999,,SW,468.7
CookEast,23,I,216,5180840.452,493895.2942,1999,,SW,499.54
CookEast,24,I,217,5180836.419,493927.1984,1999,,SW,539.23
CookEast,25,I,218,5180827.609,493959.0978,1999,,SW,638.62
CookEast,26,I,219,5180828.91,493991.0075,1999,,SW,715.75
CookEast,27,I,220,5180829.434,494022.9164,1999,,SW,715.05
CookEast,28,I,221,5180822.401,494054.8177,1999,,SW,639.38
CookEast,29,I,222,5180840.594,494086.744,1999,,SW,629.02
CookEast,30,I,223,5180815.449,494118.6277,1999,,SW,445.87
CookEast,31,I,224,5180829.197,494150.5495,1999,,SW,296.91
CookEast,7,J,225,5180872.077,493412.6587,1999,,SW,557.56
CookEast,8,J,226,5180867.109,493445.7627,1999,,SW,635.97
CookEast,9,J,227,5180856.118,493478.459,1999,,SW,380.03
CookEast,10,J,228,5180871.195,493508.3822,1999,,SW,133.54
CookEast,11,J,229,5180854.27,493540.2721,1999,,SW,404.82
CookEast,12,J,230,5180864.125,493572.1908,1999,,SW,398.92
CookEast,13,J,231,5180858.868,493604.0934,1999,,SW,338.6
CookEast,14,J,232,5180861.321,493642.6259,1999,,SW,308.79
CookEast,15,J,233,5180857.023,493667.9079,1999,,SW,356.8
CookEast,16,J,234,5180864.657,493699.8241,1999,,SW,413.22
CookEast,17,J,235,5180868.735,493731.7365,1999,,SW,314.29
CookEast,18,J,236,5180846.699,493763.6217,1999,,SW,405.45
CookEast,19,J,237,5180860.384,493798.2411,1999,,SW,306.91
CookEast,20,J,238,5180862.302,493827.4543,1999,,SW,519.06
CookEast,21,J,239,5180848.088,493858.4356,1999,,SW,326.71
CookEast,22,J,240,5180880.618,493884.7605,1999,,SW,205.24
CookEast,23,J,241,5180872.205,493923.1888,1999,,SW,672.82
CookEast,24,J,242,5180868.172,493955.0929,1999,,SW,666.47
CookEast,25,J,243,5180859.362,493986.9922,1999,,SW,720.06
CookEast,26,J,244,5180863.394,494016.1704,1999,,SW,594.51
CookEast,27,J,245,5180861.187,494050.8104,1999,,SW,666.63
CookEast,28,J,246,5180854.155,494082.7116,1999,,SW,659.47
CookEast,29,J,247,5180872.347,494114.6377,1999,,SW,680.39
CookEast,30,J,248,5180849.023,494145.1556,1999,,SW,615.77
CookEast,9,K,249,5180889.931,493445.5787,1999,,SW,803.07
CookEast,10,K,250,5180903.009,493477.501,1999,,SW,536.09
CookEast,11,K,251,5180886.084,493509.3906,1999,,SW,314.24
CookEast,12,K,252,5180893.14,493543.7083,1999,,SW,323.03
CookEast,13,K,253,5180890.682,493573.2116,1999,,SW,468.66
CookEast,14,K,254,5180897.649,493605.1271,1999,,SW,585.45
CookEast,15,K,255,5180888.836,493637.0257,1999,,SW,496.47
CookEast,16,K,256,5180896.47,493668.9418,1999,,SW,315.54
CookEast,17,K,257,5180900.548,493700.8541,1999,,SW,406.01
CookEast,18,K,258,5180878.512,493732.7391,1999,,SW,366.15
CookEast,19,K,259,5180893.925,493764.6632,1999,,SW,364.29
CookEast,20,K,260,5180894.114,493796.5714,1999,,SW,362.64
CookEast,21,K,261,5180878.08,493828.4629,1999,,SW,486.84
CookEast,22,K,262,5180907.272,493860.4008,1999,,SW,482.28
CookEast,23,K,263,5180904.017,493892.3054,1999,,SW,515.04
CookEast,24,K,264,5180899.984,493924.2093,1999,,SW,543.74
CookEast,25,K,265,5180890.263,493957.4741,1999,,SW,849.07
CookEast,26,K,266,5180892.475,493988.0177,1999,,SW,636.5
CookEast,27,K,267,5180892.999,494019.9263,1999,,SW,704.11
CookEast,28,K,268,5180885.966,494051.8273,1999,,SW,913.28
CookEast,29,K,269,5180904.159,494083.7533,1999,,SW,
CookEast,30,K,270,5180879.014,494115.6366,1999,,SW,689.24
CookEast,31,K,271,5180892.762,494147.5581,1999,,SW,462.84
CookEast,9,L,272,5180921.689,493466.5291,1999,,SW,934.02
CookEast,10,L,273,5180934.767,493498.4511,1999,,SW,865.08
CookEast,11,L,274,5180917.842,493530.3407,1999,,SW,677
CookEast,12,L,275,5180928.897,493560.6597,1999,,SW,605.24
CookEast,13,L,276,5180922.441,493594.1613,1999,,SW,321.97
CookEast,14,L,277,5180929.408,493626.0766,1999,,SW,262.26
CookEast,15,L,278,5180920.595,493657.9751,1999,,SW,468.41
CookEast,16,L,279,5180926.713,493690.9522,1999,,SW,542.79
CookEast,17,L,280,5180932.307,493721.8031,1999,,SW,542.79
CookEast,18,L,281,5180909.472,493754.8875,1999,,SW,414.87
CookEast,19,L,282,5180925.684,493785.6118,1999,,SW,540.89
CookEast,20,L,283,5180925.874,493817.5198,1999,,SW,437.23
CookEast,21,L,284,5180909.839,493849.4113,1999,,SW,409.27
CookEast,22,L,285,5180939.032,493881.3489,1999,,SW,612.88
CookEast,23,L,286,5180935.777,493913.2534,1999,,SW,805.04
CookEast,24,L,287,5180931.744,493945.1571,1999,,SW,699.63
CookEast,25,L,288,5180920.051,493979.787,1999,,SW,784
CookEast,26,L,289,5180924.235,494008.9652,1999,,SW,866.78
CookEast,27,L,290,5180924.759,494040.8736,1999,,SW,563.53
CookEast,28,L,291,5180917.726,494072.7745,1999,,SW,314.6
CookEast,29,L,292,5180935.919,494104.7002,1999,,SW,
CookEast,30,L,293,5180910.774,494136.5834,1999,,SW,560.88
CookEast,9,M,297,5180953.466,493470.6857,1999,,SW,364.16
CookEast,10,M,298,5180966.544,493502.6076,1999,,SW,
CookEast,11,M,299,5180949.619,493534.497,1999,,SW,691.45
CookEast,12,M,300,5180959.474,493566.4152,1999,,SW,536.06
CookEast,13,M,301,5180954.217,493598.3173,1999,,SW,636.27
CookEast,14,M,302,5180959.585,493631.4319,1999,,SW,710.77
CookEast,15,M,303,5180951.172,493663.3302,1999,,SW,588.56
CookEast,16,M,304,5180960.006,493694.0464,1999,,SW,438.04
CookEast,17,M,305,5180964.084,493725.9584,1999,,SW,543.36
CookEast,18,M,306,5180942.048,493757.8431,1999,,SW,471.5
CookEast,19,M,307,5180957.461,493789.7668,1999,,SW,619.8
CookEast,20,M,308,5180957.65,493821.6746,1999,,SW,638.4
CookEast,21,M,309,5180939.617,493855.1652,1999,,SW,535.93
CookEast,22,M,310,5180970.809,493885.5034,1999,,SW,802.32
CookEast,23,M,311,5180967.554,493917.4077,1999,,SW,917.19
CookEast,24,M,312,5180965.797,493946.5799,1999,,SW,816.55
CookEast,25,M,313,5180954.71,493981.21,1999,,SW,597.47
CookEast,26,M,314,5180956.012,494013.119,1999,,SW,466.54
CookEast,27,M,315,5180958.356,494042.7511,1999,,SW,
CookEast,28,M,316,5180949.503,494076.9279,1999,,SW,
CookEast,10,N,323,5180997.268,493501.3263,1999,,SW,392.37
CookEast,11,N,324,5180981.404,493530.6382,1999,,SW,477.6
CookEast,12,N,325,5180991.259,493562.5563,1999,,SW,610.57
CookEast,13,N,326,5180986.002,493594.4582,1999,,SW,519.08
CookEast,14,N,327,5180992.969,493626.3731,1999,,SW,544.08
CookEast,15,N,328,5180984.157,493658.2713,1999,,SW,601.14
CookEast,16,N,329,5180990.991,493691.3863,1999,,SW,629.41
CookEast,17,N,330,5180995.869,493722.0986,1999,,SW,720.93
CookEast,18,N,331,5180973.833,493753.9831,1999,,SW,437.37
CookEast,19,N,332,5180989.246,493785.9066,1999,,SW,582.32
CookEast,20,N,333,5180989.435,493817.8143,1999,,SW,697.45
CookEast,21,N,334,5180973.401,493849.7054,1999,,SW,637.45
CookEast,22,N,335,5181002.593,493881.6427,1999,,SW,725.8
CookEast,23,N,336,5180999.338,493913.5469,1999,,SW,752.88
CookEast,24,N,337,5180995.306,493945.4502,1999,,SW,761.71
CookEast,25,N,338,5180985.889,493977.9553,1999,,SW,817.84
CookEast,11,O,348,5181013.174,493540.9011,1999,,SW,741.61
CookEast,12,O,349,5181023.029,493572.819,1999,,SW,
CookEast,13,O,350,5181017.773,493604.7208,1999,,SW,603.51
CookEast,14,O,351,5181024.739,493636.6355,1999,,SW,218.12
CookEast,15,O,352,5181014.328,493670.5327,1999,,SW,604.73
CookEast,16,O,353,5181023.561,493700.4489,1999,,SW,605.1
CookEast,17,O,354,5181027.639,493732.3605,1999,,SW,581.52
CookEast,18,O,355,5181005.603,493764.2449,1999,,SW,704.55
CookEast,19,O,356,5181021.016,493796.1682,1999,,SW,578.22
CookEast,20,O,357,5181021.206,493828.0757,1999,,SW,519.18
CookEast,21,O,358,5181003.956,493861.7152,1999,,SW,639.75
CookEast,22,O,359,5181034.364,493891.9038,1999,,SW,672.11
CookEast,23,O,360,5181031.109,493923.8077,1999,,SW,656.23
CookEast,12,P,371,5181049.809,493570.4942,1999,,SW,382.59
CookEast,13,P,372,5181049.555,493603.457,1999,,SW,611.7
CookEast,14,P,373,5181056.522,493635.3715,1999,,SW,630.38
CookEast,15,P,374,5181047.709,493667.2694,1999,,SW,718.11
CookEast,16,P,375,5181054.144,493700.3841,1999,,SW,572.18
CookEast,17,P,376,5181059.421,493731.096,1999,,SW,472.49
CookEast,18,P,377,5181033.528,493767.3783,1999,,SW,574.75
CookEast,19,P,378,5181052.799,493794.9034,1999,,SW,615.29
CookEast,20,P,379,5181052.988,493826.8107,1999,,SW,665.58
CookEast,21,P,380,5181036.954,493858.7015,1999,,SW,761.28
CookEast,22,P,381,5181066.146,493890.6385,1999,,SW,690.88
CookEast,13,Q,394,5181067.549,493594.9384,1999,,SW,
CookEast,14,Q,395,5181088.312,493626.398,1999,,SW,323.81
CookEast,15,Q,396,5181079.5,493658.2957,1999,,SW,318.82
CookEast,16,Q,397,5181087.133,493690.2107,1999,,SW,445.21
CookEast,17,Q,398,5181093.211,493719.7229,1999,,SW,522.46
CookEast,18,Q,399,5181069.176,493754.006,1999,,SW,734.96
CookEast,19,Q,400,5181084.589,493785.929,1999,,SW,486.49
CookEast,20,Q,401,5181084.778,493817.8362,1999,,SW,617.78
CookEast,21,Q,402,5181068.744,493849.7268,1999,,SW,651.35
CookEast,15,R,419,5181104.302,493648.3558,1999,,SW,607.61
CookEast,16,R,420,5181110.736,493681.925,1999,,SW,441.28
CookEast,17,R,421,5181114.814,493712.7748,1999,,SW,557.27
CookEast,18,R,422,5181100.965,493745.8715,1999,,SW,626.86
CookEast,19,R,423,5181114.779,493780.1935,1999,,SW,
CookEast,20,R,424,5181116.567,493809.7014,1999,,SW,
CookEast,21,R,425,5181100.533,493841.5918,1999,,SW,
