"FieldID","Column","Row2","ID2","Easting","Northing","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",14,"P",373,493635.3715,5181056.522,2008,NA,"S W",280.019685,3,"A",278.402699657143,1.00580808068617
"CookEast",11,"K",251,493509.3906,5180886.084,2008,NA,"S W",267.2244094,3,"A",278.402699657143,0.959848484691747
"CookEast",6,"E",98,493371.8625,5180703.771,2008,NA,"S W",266.7322835,3,"A",278.402699657143,0.958080808226662
"CookEast",5,"C",45,493323.2034,5180641.411,2008,NA,"S W",258.8582677,3,"A",278.402699657143,0.929797979756618
"CookEast",9,"J",227,493478.459,5180856.118,2008,NA,"S W",250.984252,3,"A",278.402699657143,0.901515151645767
"CookEast",8,"G",151,493417.8866,5180770.999,2008,NA,"S W",247.5393701,3,"A",278.402699657143,0.889141414235022
"CookEast",4,"B",21,493309.2174,5180591.83,2008,NA,"S W",247.0472441,3,"A",278.402699657143,0.887373737410745
"CookEast",13,"O",350,493604.7208,5181017.773,2008,NA,"S W",233.2677165,3,"A",278.402699657143,0.837878787767765
"CookEast",10,"J",228,493508.3822,5180871.195,2008,NA,"S W",191.4370079,3,"A",278.402699657143,0.687626262732932
"CookEast",10,"I",203,493480.4853,5180839.444,2008,NA,"S W",181.5944882,3,"A",278.402699657143,0.652272727324973
"CookEast",16,"R",420,493681.925,5181110.736,2008,NA,"S W",173.7204724,3,"A",278.402699657143,0.62398989885493
"CookEast",8,"E",100,493435.6872,5180709.813,2008,NA,"W C",381.8897638,4,"A",165.409011361111,2.3087603308763
"CookEast",9,"G",152,493447.7845,5180761.607,2008,NA,"W C",343.011811,4,"A",165.409011361111,2.07371900827795
"CookEast",8,"F",126,493434.1733,5180740.797,2008,NA,"W C",261.3188976,4,"A",165.409011361111,1.57983471063438
"CookEast",10,"G",153,493478.5079,5180775.884,2008,NA,"W C",231.2992126,4,"A",165.409011361111,1.39834710755293
"CookEast",13,"K",253,493573.2116,5180890.682,2008,NA,"W C",205.2165354,4,"A",165.409011361111,1.24066115691837
