"FieldID","Column","Row2","ID2","Latitude","Longitude","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",1,"B",18,46.77895174,-117.0888801,2016,"GPHY16_SC_A1_18_1-B_B","SC",205,1,"A",374.45,0.547469622112432
"CookEast",2,"C",42,46.77911338,-117.0887062,2016,"GPHY16_SC_A1_42_2-C_B","SC",319,1,"A",374.45,0.851916143677394
"CookEast",3,"C",43,46.779153,-117.088318,2016,"GPHY16_SC_A1_43_3-C_B","SC",324,1,"A",374.45,0.865269061289892
"CookEast",3,"D",68,46.779439,-117.088231,2016,"GPHY16_SC_A1_68_3-D_B","SC",458,1,"A",374.45,1.22312725330485
"CookEast",3,"E",95,46.77971682,-117.088073,2016,"GPHY16_SC_A1_95_3-E_B","SC",266,1,"A",374.45,0.710375216984911
"CookEast",4,"E",96,46.7797,-117.087663,2016,"GPHY16_SC_A1_96_4-E_B","SC",214,1,"A",374.45,0.571504873814929
"CookEast",4,"F",122,46.779986,-117.087699,2016,"GPHY16_SC_A1_122_4-F_B","SC",462,1,"A",374.45,1.23380958739485
"CookEast",5,"F",123,46.780159,-117.087281,2016,"GPHY16_SC_A1_123_5-F_B","SC",298,1,"A",374.45,0.795833889704901
"CookEast",6,"G",149,46.780422,-117.087103,2016,"GPHY16_SC_A1_149_6-G_B","SC",505,1,"A",374.45,1.34864467886233
"CookEast",6,"H",175,46.780708,-117.086879,2016,"GPHY16_SC_A1_175_6-H_B","SC",448,1,"A",374.45,1.19642141807985
"CookEast",7,"H",176,46.78080097,-117.0864768,2016,"GPHY16_SC_A1_176_7-H_B","SC",529,1,"A",374.45,1.41273868340232
"CookEast",7,"I",200,46.7810531,-117.0866262,2016,"GPHY16_SC_A1_200_7-I_B","SC",267,1,"A",374.45,0.713045800507411
"CookEast",8,"I",201,46.781049,-117.086242,2016,"GPHY16_SC_A1_201_8-I_B","SC",146,1,"A",374.45,0.389905194284951
"CookEast",7,"J",225,46.781365,-117.086295,2016,"GPHY16_SC_A1_225_7-J_B","SC",520,1,"A",374.45,1.38870343169983
"CookEast",9,"L",272,46.781812,-117.08559,2016,"GPHY16_SC_A1_272_9-L_B","SC",211,1,"A",374.45,0.56349312324743
"CookEast",9,"M",297,46.782098,-117.085536,2016,"GPHY16_SC_A1_297_9-M_B","SC",445,1,"A",374.45,1.18840966751235
"CookEast",10,"M",298,46.782216,-117.085118,2016,"GPHY16_SC_A1_298_10-M_B","SC",441,1,"A",374.45,1.17772733342235
"CookEast",10,"N",323,46.78249248,-117.0851352,2016,"GPHY16_SC_A1_323_10-N_B","SC",326,1,"A",374.45,0.870610228334891
"CookEast",11,"O",348,46.782636,-117.084617,2016,"GPHY16_SC_A1_348_11-O_B","SC",715,1,"A",374.45,1.90946721858726
"CookEast",12,"P",371,46.78296597,-117.0842298,2016,"GPHY16_SC_A1_371_12-P_B","SC",390,1,"A",374.45,1.04152757377487
"CookEast",2,"B",19,46.77882662,-117.0884663,2016,"GPHY16_SC_A2_19_2-B_B","SC",435,2,"A",344.047619047619,1.2643598615917
"CookEast",3,"B",20,46.778867,-117.088064,2016,"GPHY16_SC_A2_20_3-B_B","SC",223,2,"A",344.047619047619,0.648166089965398
"CookEast",4,"C",44,46.779128,-117.0879,2016,"GPHY16_SC_A2_44_4-C_B","SC",264,2,"A",344.047619047619,0.767335640138408
"CookEast",4,"D",69,46.779414,-117.087813,2016,"GPHY16_SC_A2_69_4-D_B","SC",272,2,"A",344.047619047619,0.790588235294118
"CookEast",5,"D",70,46.779587,-117.087395,2016,"GPHY16_SC_A2_70_5-D_B","SC",336,2,"A",344.047619047619,0.976608996539792
"CookEast",5,"E",97,46.779873,-117.087245,2016,"GPHY16_SC_A2_97_5-E_B","SC",290,2,"A",344.047619047619,0.842906574394464
"CookEast",6,"F",124,46.780136,-117.086863,2016,"GPHY16_SC_A2_124_6-F_B","SC",301,2,"A",344.047619047619,0.874878892733564
"CookEast",7,"G",150,46.780507,-117.086685,2016,"GPHY16_SC_A2_150_7-G_B","SC",548,2,"A",344.047619047619,1.59280276816609
"CookEast",8,"H",177,46.780763,-117.086043,2016,"GPHY16_SC_A2_177_8-H_B","SC",199,2,"A",344.047619047619,0.57840830449827
"CookEast",9,"I",202,46.780954,-117.085824,2016,"GPHY16_SC_A2_202_9-I_B","SC",463,2,"A",344.047619047619,1.34574394463668
"CookEast",8,"J",226,46.78132062,-117.0858613,2016,"GPHY16_SC_A2_226_8-J_B","SC",286,2,"A",344.047619047619,0.831280276816609
"CookEast",10,"K",250,46.781644,-117.085446,2016,"GPHY16_SC_A2_250_10-K_B","SC",263,2,"A",344.047619047619,0.764429065743945
"CookEast",10,"L",273,46.78193,-117.085172,2016,"GPHY16_SC_A2_273_10-L_B","SC",199,2,"A",344.047619047619,0.57840830449827
"CookEast",11,"M",299,46.782064,-117.0847,2016,"GPHY16_SC_A2_299_11-M_B","SC",541,2,"A",344.047619047619,1.57245674740484
"CookEast",11,"N",324,46.78235,-117.084751,2016,"GPHY16_SC_A2_324_11-N_B","SC",275,2,"A",344.047619047619,0.799307958477509
"CookEast",12,"N",325,46.782439,-117.084333,2016,"GPHY16_SC_A2_325_12-N_B","SC",529,2,"A",344.047619047619,1.53757785467128
"CookEast",12,"O",349,46.782725,-117.084199,2016,"GPHY16_SC_A2_349_12-O_B","SC",415,2,"A",344.047619047619,1.20622837370242
"CookEast",13,"P",372,46.782964,-117.083798,2016,"GPHY16_SC_A2_372_13-P_B","SC",266,2,"A",344.047619047619,0.773148788927336
"CookEast",13,"Q",394,46.78312585,-117.0839098,2016,"GPHY16_SC_A2_394_13-Q_B","SC",279,2,"A",344.047619047619,0.810934256055363
"CookEast",14,"Q",395,46.783313,-117.083498,2016,"GPHY16_SC_A2_395_14-Q_B","SC",374,2,"A",344.047619047619,1.08705882352941
"CookEast",15,"R",419,46.7834571,-117.0832106,2016,"GPHY16_SC_A2_419_15-R_B","SC",467,2,"A",344.047619047619,1.35737024221453
"CookEast",4,"B",21,46.778842,-117.087646,2016,"GPHY16_SC_A3_21_4-B_B","SC",152,3,"A",337.380952380952,0.450529287226535
"CookEast",5,"C",45,46.77928833,-117.0874635,2016,"GPHY16_SC_A3_45_5-C_B","SC",199,3,"A",337.380952380952,0.589837685250529
"CookEast",6,"C",46,46.779278,-117.087064,2016,"GPHY16_SC_A3_46_6-C_B","SC",359,3,"A",337.380952380952,1.06407904022583
"CookEast",6,"D",71,46.779564,-117.086977,2016,"GPHY16_SC_A3_71_6-D_B","SC",163,3,"A",337.380952380952,0.483133380381087
"CookEast",6,"E",98,46.77985,-117.086827,2016,"GPHY16_SC_A3_98_6-E_B","SC",426,3,"A",337.380952380952,1.26266760762174
"CookEast",7,"E",99,46.779935,-117.086409,2016,"GPHY16_SC_A3_99_7-E_B","SC",432,3,"A",337.380952380952,1.28045165843331
"CookEast",7,"F",125,46.780221,-117.086445,2016,"GPHY16_SC_A3_125_7-F_B","SC",633,3,"A",337.380952380952,1.87621736062103
"CookEast",8,"G",151,46.78045544,-117.0862251,2016,"GPHY16_SC_A3_151_8-G_B","SC",449,3,"A",337.380952380952,1.33083980239944
"CookEast",9,"H",178,46.780668,-117.085625,2016,"GPHY16_SC_A3_178_9-H_B","SC",287,3,"A",337.380952380952,0.850670430486944
"CookEast",10,"I",203,46.781072,-117.085406,2016,"GPHY16_SC_A3_203_10-I_B","SC",340,3,"A",337.380952380952,1.00776287932251
"CookEast",9,"J",227,46.78122203,-117.0854328,2016,"GPHY16_SC_A3_227_9-J_B","SC",283,3,"A",337.380952380952,0.838814396612562
"CookEast",10,"J",228,46.781358,-117.085041,2016,"GPHY16_SC_A3_228_10-J_B","SC",21,3,"A",337.380952380952,0.0622441778405081
"CookEast",11,"K",251,46.781492,-117.085028,2016,"GPHY16_SC_A3_251_11-K_B","SC",161,3,"A",337.380952380952,0.477205363443896
"CookEast",11,"L",274,46.781778,-117.084754,2016,"GPHY16_SC_A3_274_11-L_B","SC",283,3,"A",337.380952380952,0.838814396612562
"CookEast",12,"L",275,46.78187778,-117.084357,2016,"GPHY16_SC_A3_275_12-L_B","SC",359,3,"A",337.380952380952,1.06407904022583
"CookEast",12,"M",300,46.782153,-117.084282,2016,"GPHY16_SC_A3_300_12-M_B","SC",517,3,"A",337.380952380952,1.53239237826394
"CookEast",13,"N",326,46.782392,-117.083915,2016,"GPHY16_SC_A3_326_13-N_B","SC",458,3,"A",337.380952380952,1.3575158786168
"CookEast",13,"O",350,46.782678,-117.083781,2016,"GPHY16_SC_A3_350_13-O_B","SC",201,3,"A",337.380952380952,0.595765702187721
"CookEast",14,"P",373,46.783027,-117.08338,2016,"GPHY16_SC_A3_373_14-P_B","SC",405,3,"A",337.380952380952,1.20042342978123
"CookEast",15,"Q",396,46.783234,-117.08308,2016,"GPHY16_SC_A3_396_15-Q_B","SC",474,3,"A",337.380952380952,1.40494001411433
"CookEast",16,"R",420,46.78351532,-117.0827709,2016,"GPHY16_SC_A3_420_16-R_B","SC",483,3,"A",337.380952380952,1.43161609033169
"CookEast",5,"A",1,46.778729,-117.087514,2016,"GPHY16_SC_A4_1_5-A_B","SC",330,4,"A",373.652173913043,0.883174307656505
"CookEast",5,"B",22,46.779015,-117.087228,2016,"GPHY16_SC_A4_22_5-B_B","SC",373,4,"A",373.652173913043,0.998254596229928
"CookEast",6,"B",23,46.77900278,-117.086831,2016,"GPHY16_SC_A4_23_5-B_B","SC",439,4,"A",373.652173913043,1.17488945776123
"CookEast",7,"C",47,46.779363,-117.086646,2016,"GPHY16_SC_A4_47_7-C_B","SC",415,4,"A",373.652173913043,1.11065859902257
"CookEast",7,"D",72,46.779649,-117.086559,2016,"GPHY16_SC_A4_72_7-D_B","SC",247,4,"A",373.652173913043,0.66104258785199
"CookEast",8,"D",73,46.77963697,-117.0861725,2016,"GPHY16_SC_A4_73_8-D_B","SC",432,4,"A",373.652173913043,1.15615545729579
"CookEast",8,"E",100,46.779905,-117.085991,2016,"GPHY16_SC_A4_100_8-E_B","SC",553,4,"A",373.652173913043,1.47998603676984
"CookEast",8,"F",126,46.78018382,-117.0860113,2016,"GPHY16_SC_A4_126_8-F_B","SC",373,4,"A",373.652173913043,0.998254596229928
"CookEast",9,"G",152,46.78037122,-117.0858333,2016,"GPHY16_SC_A4_152_9-G_B","SC",467,4,"A",373.652173913043,1.24982545962299
"CookEast",10,"G",153,46.7805,-117.085431,2016,"GPHY16_SC_A4_153_10-G_B","SC",535,4,"A",373.652173913043,1.43181289271585
"CookEast",10,"H",179,46.780786,-117.085207,2016,"GPHY16_SC_A4_179_10-H_B","SC",368,4,"A",373.652173913043,0.984873167326041
"CookEast",11,"I",204,46.78092,-117.084988,2016,"GPHY16_SC_A4_204_11-I_B","SC",409,4,"A",373.652173913043,1.09460088433791
"CookEast",11,"J",229,46.781206,-117.084623,2016,"GPHY16_SC_A4_229_11-J_B","SC",175,4,"A",373.652173913043,0.468350011636025
"CookEast",12,"K",252,46.78155584,-117.0845785,2016,"GPHY16_SC_A4_252_12-K_B","SC",253,4,"A",373.652173913043,0.677100302536653
"CookEast",13,"K",253,46.781534,-117.084192,2016,"GPHY16_SC_A4_253_13-K_B","SC",336,4,"A",373.652173913043,0.899232022341168
"CookEast",13,"L",276,46.78182,-117.083918,2016,"GPHY16_SC_A4_276_13-L_B","SC",450,4,"A",373.652173913043,1.20432860134978
"CookEast",13,"M",301,46.782106,-117.083864,2016,"GPHY16_SC_A4_301_13-M_B","SC",313,4,"A",373.652173913043,0.837677449383291
"CookEast",14,"N",327,46.782455,-117.083497,2016,"GPHY16_SC_A4_327_14-N_B","SC",297,4,"A",373.652173913043,0.794856876890854
"CookEast",14,"O",351,46.782741,-117.083363,2016,"GPHY16_SC_A4_351_14-O_B","SC",465,4,"A",373.652173913043,1.24447288806144
"CookEast",15,"P",374,46.782948,-117.082962,2016,"GPHY16_SC_A4_374_15-P_B","SC",200,4,"A",373.652173913043,0.535257156155457
"CookEast",16,"Q",397,46.783303,-117.082662,2016,"GPHY16_SC_A4_397_16-Q_B","SC",462,4,"A",373.652173913043,1.23644403071911
"CookEast",17,"Q",398,46.78335797,-117.0822755,2016,"GPHY16_SC_A4_398_17-Q_B","SC",432,4,"A",373.652173913043,1.15615545729579
"CookEast",17,"R",421,46.78355231,-117.0823668,2016,"GPHY16_SC_A4_421_17-R_B","SC",270,4,"A",373.652173913043,0.722597160809867
"CookEast",6,"A",2,46.77869163,-117.0870645,2016,"GPHY16_SC_A5_2_6-A_B","SC",355,5,"A",370.05,0.959329820294555
"CookEast",7,"A",3,46.778791,-117.086678,2016,"GPHY16_SC_A5_3_7-A_B","SC",512,5,"A",370.05,1.38359681124172
"CookEast",7,"B",24,46.779077,-117.086392,2016,"GPHY16_SC_A5_24_7-B_B","SC",232,5,"A",370.05,0.626942305093906
"CookEast",8,"C",48,46.779333,-117.086228,2016,"GPHY16_SC_A5_48_8-C_B","SC",501,5,"A",370.05,1.3538710985002
"CookEast",9,"E",101,46.77981,-117.085573,2016,"GPHY16_SC_A5_101_9-E_B","SC",516,5,"A",370.05,1.39440616132955
"CookEast",9,"F",127,46.78008882,-117.0855933,2016,"GPHY16_SC_A5_127_9-F_B","SC",540,5,"A",370.05,1.45926226185651
"CookEast",10,"F",128,46.780214,-117.085191,2016,"GPHY16_SC_A5_128_10-F_B","SC",496,5,"A",370.05,1.34035941089042
"CookEast",11,"G",154,46.780348,-117.085013,2016,"GPHY16_SC_A5_154_11-G_B","SC",422,5,"A",370.05,1.14038643426564
"CookEast",11,"H",180,46.780634,-117.084789,2016,"GPHY16_SC_A5_180_11-H_B","SC",205,5,"A",370.05,0.553979192001081
"CookEast",12,"I",205,46.781009,-117.08457,2016,"GPHY16_SC_A5_205_12-I_B","SC",470,5,"A",370.05,1.27009863531955
"CookEast",12,"J",230,46.781295,-117.084205,2016,"GPHY16_SC_A5_230_12-J_B","SC",228,5,"A",370.05,0.61613295500608
"CookEast",14,"K",254,46.781597,-117.083774,2016,"GPHY16_SC_A5_254_14-K_B","SC",472,5,"A",370.05,1.27550331036346
"CookEast",14,"L",277,46.781883,-117.0835,2016,"GPHY16_SC_A5_277_14-L_B","SC",387,5,"A",370.05,1.04580462099716
"CookEast",14,"M",302,46.78215462,-117.0834303,2016,"GPHY16_SC_A5_302_14-M_B","SC",152,5,"A",370.05,0.410755303337387
"CookEast",15,"N",328,46.782376,-117.083079,2016,"GPHY16_SC_A5_328_15-N_B","SC",346,5,"A",370.05,0.935008782596946
"CookEast",15,"O",352,46.78264763,-117.0829188,2016,"GPHY16_SC_A5_352_15-O_B","SC",200,5,"A",370.05,0.540467504391298
"CookEast",16,"O",353,46.782731,-117.082527,2016,"GPHY16_SC_A5_353_16-O_B","SC",181,5,"A",370.05,0.489123091474125
"CookEast",16,"P",375,46.78300622,-117.0825283,2016,"GPHY16_SC_A5_375_16-P_B","SC",396,5,"A",370.05,1.07012565869477
"CookEast",17,"P",376,46.783054,-117.082126,2016,"GPHY16_SC_A5_376_17-P_B","SC",384,5,"A",370.05,1.03769760843129
"CookEast",18,"R",422,46.783428,-117.081933,2016,"GPHY16_SC_A5_422_18-R_B","SC",406,5,"A",370.05,1.09714903391434
"CookEast",8,"A",4,46.778761,-117.08626,2016,"GPHY16_SC_A6_4_8-A_B","SC",657,6,"A",436.391304347826,1.50552954069941
"CookEast",8,"B",25,46.779047,-117.085974,2016,"GPHY16_SC_A6_25_8-B_B","SC",392,6,"A",436.391304347826,0.898276377403607
"CookEast",9,"C",49,46.779238,-117.08581,2016,"GPHY16_SC_A6_49_9-C_B","SC",293,6,"A",436.391304347826,0.671415761681777
"CookEast",9,"D",74,46.77950963,-117.0856915,2016,"GPHY16_SC_A6_74_9-D_B","SC",536,6,"A",436.391304347826,1.22825545481718
"CookEast",10,"D",75,46.779642,-117.085305,2016,"GPHY16_SC_A6_75_10-D_B","SC",677,6,"A",436.391304347826,1.55135996811796
"CookEast",10,"E",102,46.779928,-117.085155,2016,"GPHY16_SC_A6_102_10-E_B","SC",553,6,"A",436.391304347826,1.26721131812295
"CookEast",11,"F",129,46.780062,-117.084773,2016,"GPHY16_SC_A6_129_11-F_B","SC",369,6,"A",436.391304347826,0.845571385872273
"CookEast",12,"G",155,46.780437,-117.084595,2016,"GPHY16_SC_A6_155_12-G_B","SC",334,6,"A",436.391304347826,0.765368137889808
"CookEast",12,"H",181,46.780723,-117.084371,2016,"GPHY16_SC_A6_181_12-H_B","SC",398,6,"A",436.391304347826,0.912025505629172
"CookEast",13,"I",206,46.780962,-117.084152,2016,"GPHY16_SC_A6_206_13-I_B","SC",551,6,"A",436.391304347826,1.26262827538109
"CookEast",14,"I",207,46.78103938,-117.083755,2016,"GPHY16_SC_A6_207_14-I_B","SC",539,6,"A",436.391304347826,1.23513001892996
"CookEast",13,"J",231,46.781248,-117.083787,2016,"HPGY16_SC_A6_231_13-J_B","SC",304,6,"A",436.391304347826,0.696622496761981
"CookEast",15,"K",255,46.781518,-117.083356,2016,"GPHY16_SC_A6_255_15-K_B","SC",592,6,"A",436.391304347826,1.35658065158912
"CookEast",15,"L",278,46.781804,-117.083082,2016,"GPHY16_SC_A6_278_15-L_B","SC",173,6,"A",436.391304347826,0.396433197170469
"CookEast",15,"M",303,46.78207922,-117.0830123,2016,"GPHY16_SC_A6_303_15-M_B","SC",219,6,"A",436.391304347826,0.501843180233137
"CookEast",16,"M",304,46.782159,-117.08261,2016,"GPHY16_SC_A6_304_16-M_B","SC",231,6,"A",436.391304347826,0.529341436684268
"CookEast",16,"N",329,46.78243782,-117.0826453,2016,"GPHY16_SC_A6_329_16-N_B","SC",383,6,"A",436.391304347826,0.877652685065259
"CookEast",17,"N",330,46.782482,-117.082243,2016,"GPHY16_SC_A6_330_17-N_B","SC",299,6,"A",436.391304347826,0.685164889907343
"CookEast",17,"O",354,46.782768,-117.082109,2016,"GPHY16_SC_A6_354_17-O_B","SC",519,6,"A",436.391304347826,1.18929959151141
"CookEast",18,"Q",399,46.783142,-117.081826,2016,"GPHY16_SC_A6_399_18-Q_B","SC",267,6,"A",436.391304347826,0.611836206037661
"CookEast",19,"Q",400,46.783281,-117.081408,2016,"GPHY16_SC_A6_400_19-Q_B","SC",557,6,"A",436.391304347826,1.27637740360666
"CookEast",19,"R",423,46.78355263,-117.0814835,2016,"GPHY16_SC_A6_423_19-R_B","SC",564,6,"A",436.391304347826,1.29241805320315
"CookEast",20,"R",424,46.783569,-117.081097,2016,"GPHY16_SC_A6_424_20-R_B","SC",630,6,"A",436.391304347826,1.44365846368437
"CookEast",9,"A",5,46.778666,-117.085842,2016,"GPHY16_SC_B1_5_9-A_B","SC",618,1,"B",423.24,1.46016444570456
"CookEast",9,"B",26,46.778952,-117.085556,2016,"GPHY16_SC_B1_26_9-B_B","SC",540,1,"B",423.24,1.27587184576127
"CookEast",10,"C",50,46.77932123,-117.0853355,2016,"GPHY16_SC_B1_50_10-C_B","SC",601,1,"B",423.24,1.41999810981949
"CookEast",11,"D",76,46.77949,-117.084887,2016,"GPHY16_SC_B1_76_11-D_B","SC",570,1,"B",423.24,1.34675361497023
"CookEast",11,"E",103,46.779776,-117.084737,2016,"GPHY16_SC_B1_103_11-E_B","SC",351,1,"B",423.24,0.829316699744826
"CookEast",12,"E",104,46.77988297,-117.0843452,2016,"GPHY16_SC_B1_104_12-E_B","SC",235,1,"B",423.24,0.555240525470182
"CookEast",12,"F",130,46.780151,-117.084355,2016,"GPHY16_SC_B1_130_12-F_B","SC",369,1,"B",423.24,0.871845761270201
"CookEast",13,"G",156,46.78039,-117.084177,2016,"GPHY16_SC_B1_156_13-G_B","SC",493,1,"B",423.24,1.16482374066723
"CookEast",14,"G",157,46.780453,-117.083759,2016,"GPHY16_SC_B1_157_14-G_B","SC",307,1,"B",423.24,0.725356771571685
"CookEast",13,"H",182,46.78065692,-117.0839212,2016,"GPHY16_SC_B1_182_13-H_B","SC",310,1,"B",423.24,0.732444948492581
"CookEast",14,"H",183,46.780739,-117.083535,2016,"GPHY16_SC_B1_183_14-H_B","SC",300,1,"B",423.24,0.708817692089595
"CookEast",15,"I",208,46.780946,-117.083316,2016,"GPHY16_SC_B1_208_15-I_B","SC",292,1,"B",423.24,0.689915886967205
"CookEast",14,"J",232,46.78127044,-117.0832823,2016,"GPHY16_SC_B1_232_14-J_B","SC",371,1,"B",423.24,0.876571212550799
"CookEast",15,"J",233,46.781232,-117.082951,2016,"GPHY16_SC_B1_233_15-J_B","SC",245,1,"B",423.24,0.578867781873169
"CookEast",16,"K",256,46.781587,-117.082938,2016,"GPHY16_SC_B1_256_16-K_B","SC",376,1,"B",423.24,0.888384840752292
"CookEast",17,"K",257,46.781624,-117.08252,2016,"GPHY16_SC_B1_257_17-K_B","SC",373,1,"B",423.24,0.881296663831396
"CookEast",16,"L",279,46.78185937,-117.0826501,2016,"GPHY16_SC_B1_279_16-L_B","SC",423,1,"B",423.24,0.999432945846328
"CookEast",17,"L",280,46.78191,-117.082246,2016,"GPHY16_SC_B1_280_17-L_B","SC",480,1,"B",423.24,1.13410830734335
"CookEast",17,"M",305,46.782196,-117.082192,2016,"GPHY16_SC_B1_305_17-M_B","SC",398,1,"B",423.24,0.940364804838862
"CookEast",18,"N",331,46.782284,-117.081825,2016,"GPHY16_SC_B1_331_18-N_B","SC",365,1,"B",423.24,0.862394858709007
"CookEast",18,"O",355,46.78257,-117.081691,2016,"GPHY16_SC_B1_355_18-O_B","SC",452,1,"B",423.24,1.06795198941499
"CookEast",18,"P",377,46.78282132,-117.0816503,2016,"GPHY16_SC_B1_377_18-P_B","SC",690,1,"B",423.24,1.63028069180607
"CookEast",19,"P",378,46.782995,-117.08129,2016,"GPHY16_SC_B1_378_19-P_B","SC",421,1,"B",423.24,0.994707494565731
"CookEast",20,"Q",401,46.783283,-117.08099,2016,"GPHY16_SC_B1_401_20-Q_B","SC",557,1,"B",423.24,1.31603818164635
"CookEast",21,"R",425,46.783425,-117.080679,2016,"GPHY16_SC_B1_425_21-R_B","SC",444,1,"B",423.24,1.0490501842926
"CookEast",10,"A",6,46.77877321,-117.0854187,2016,"GPHY16_SC_B2_6_10-A_B","SC",502,2,"B",400,1.255
"CookEast",10,"B",27,46.77906282,-117.085117,2016,"GPHY16_SC_B2_27_10-B_B","SC",384,2,"B",400,0.96
"CookEast",11,"C",51,46.77919681,-117.0849635,2016,"GPHY16_SC_B2_51_11-C_B","SC",507,2,"B",400,1.2675
"CookEast",12,"C",52,46.779293,-117.084556,2016,"GPHY16_SC_B2_52_12-C_B","SC",339,2,"B",400,0.8475
"CookEast",12,"D",77,46.779579,-117.084469,2016,"GPHY16_SC_B2_77_12-D_B","SC",330,2,"B",400,0.825
"CookEast",13,"E",105,46.779818,-117.083901,2016,"GPHY16_SC_B2_105_13-E_B","SC",371,2,"B",400,0.9275
"CookEast",13,"F",131,46.780104,-117.083937,2016,"GPHY16_SC_B2_131_13-F_B","SC",200,2,"B",400,0.5
"CookEast",14,"F",132,46.780167,-117.083519,2016,"GPHY16_SC_B2_132_14-F_B","SC",398,2,"B",400,0.995
"CookEast",15,"G",158,46.780374,-117.083341,2016,"GPHY16_SC_B2_158_15-G_B","SC",288,2,"B",400,0.72
"CookEast",15,"H",184,46.78066,-117.083117,2016,"GPHY16_SC_B2_184_15-H_B","SC",459,2,"B",400,1.1475
"CookEast",16,"I",209,46.781015,-117.082898,2016,"GPHY16_SC_B2_209_16-I_B","SC",327,2,"B",400,0.8175
"CookEast",16,"J",234,46.781301,-117.082533,2016,"GPHY16_SC_B2_234_16-J_B","SC",356,2,"B",400,0.89
"CookEast",18,"M",306,46.781998,-117.081774,2016,"GPHY16_SC_B2_306_18-M_B","SC",405,2,"B",400,1.0125
