"FieldID","Column","Row2","ID2","Northing","Easting","Year","SampleID","Crop","GrainWeightWet","Strip","Field","StripMean","RelativeYield"
"CookEast",16,"A",12,5180579.114,493668.4667,1999,NA,"SW",487.52,6,"B",521.228095238095,0.935329473706329
"CookEast",15,"B",32,5180602.783,493660.2348,1999,NA,"SW",499.97,6,"B",521.228095238095,0.959215369562179
"CookEast",16,"B",33,5180610.417,493692.1523,1999,NA,"SW",305.09,6,"B",521.228095238095,0.585329153948687
"CookEast",17,"C",57,5180646.296,493704.7095,1999,NA,"SW",464.91,6,"B",521.228095238095,0.891951151995425
"CookEast",17,"D",82,5180678.07,493711.3842,1999,NA,"SW",414.26,6,"B",521.228095238095,0.794776804597932
"CookEast",17,"E",109,5180706.699,493725.5766,1999,NA,"SW",694.27,6,"B",521.228095238095,1.33198882858158
"CookEast",18,"F",136,5180719.588,493752.0391,1999,NA,"SW",609.27,6,"B",521.228095238095,1.16891243117217
"CookEast",19,"F",137,5180736.366,493782.1431,1999,NA,"SW",575.87,6,"B",521.228095238095,1.10483299971953
"CookEast",19,"G",162,5180765.435,493767.497,1999,NA,"SW",232.76,6,"B",521.228095238095,0.446560732482534
"CookEast",20,"G",163,5180766.989,493797.585,1999,NA,"SW",241.72,6,"B",521.228095238095,0.463750903315339
"CookEast",20,"H",189,5180798.753,493814.7171,1999,NA,"SW",585.95,6,"B",521.228095238095,1.12417194190643
"CookEast",21,"I",214,5180814.515,493831.4509,1999,NA,"SW",528.68,6,"B",521.228095238095,1.01429682096952
"CookEast",22,"I",215,5180844.162,493859.7475,1999,NA,"SW",468.7,6,"B",521.228095238095,0.899222440774033
"CookEast",21,"J",239,5180848.088,493858.4356,1999,NA,"SW",326.71,6,"B",521.228095238095,0.626808115266235
"CookEast",22,"J",240,5180880.618,493884.7605,1999,NA,"SW",205.24,6,"B",521.228095238095,0.393762350638922
"CookEast",23,"K",263,5180904.017,493892.3054,1999,NA,"SW",515.04,6,"B",521.228095238095,0.988127855549942
"CookEast",23,"L",286,5180935.777,493913.2534,1999,NA,"SW",805.04,6,"B",521.228095238095,1.54450615259383
"CookEast",23,"M",311,5180967.554,493917.4077,1999,NA,"SW",917.19,6,"B",521.228095238095,1.75967106988166
"CookEast",24,"M",312,5180965.797,493946.5799,1999,NA,"SW",816.55,6,"B",521.228095238095,1.56658861534892
"CookEast",24,"N",337,5180995.306,493945.4502,1999,NA,"SW",761.71,6,"B",521.228095238095,1.46137556083206
"CookEast",17,"A",13,5180582.737,493702.2,1999,NA,"SW",512.23,1,"C",500.919444444444,1.0225795897544
"CookEast",17,"B",34,5180614.495,493724.0661,1999,NA,"SW",534.61,1,"C",500.919444444444,1.06725743216641
"CookEast",18,"C",58,5180624.261,493736.5958,1999,NA,"SW",591.85,1,"C",500.919444444444,1.18152730257138
"CookEast",18,"D",83,5180656.035,493743.2704,1999,NA,"SW",426.23,1,"C",500.919444444444,0.850895298090733
"CookEast",19,"D",84,5180671.448,493775.1956,1999,NA,"SW",424.78,1,"C",500.919444444444,0.848000621080125
"CookEast",18,"E",110,5180683.404,493759.1536,1999,NA,"SW",400.34,1,"C",500.919444444444,0.799210340984079
"CookEast",19,"E",111,5180703.217,493786.6792,1999,NA,"SW",393.02,1,"C",500.919444444444,0.784597212902939
"CookEast",20,"F",138,5180735.19,493815.873,1999,NA,"SW",341.33,1,"C",500.919444444444,0.681406968297187
"CookEast",21,"G",164,5180750.955,493829.4772,1999,NA,"SW",305.91,1,"C",500.919444444444,0.610696996079432
"CookEast",22,"G",165,5180780.147,493861.4158,1999,NA,"SW",351.17,1,"C",500.919444444444,0.701050845389866
"CookEast",21,"H",190,5180782.718,493846.6092,1999,NA,"SW",444.59,1,"C",500.919444444444,0.887547898031952
"CookEast",22,"H",191,5180811.911,493878.5476,1999,NA,"SW",459.45,1,"C",500.919444444444,0.917213346568255
"CookEast",23,"I",216,5180840.452,493895.2942,1999,NA,"SW",499.54,1,"C",500.919444444444,0.997246175089142
"CookEast",23,"J",241,5180872.205,493923.1888,1999,NA,"SW",672.82,1,"C",500.919444444444,1.34317005950169
"CookEast",24,"K",264,5180899.984,493924.2093,1999,NA,"SW",543.74,1,"C",500.919444444444,1.08548391568837
"CookEast",24,"L",287,5180931.744,493945.1571,1999,NA,"SW",699.63,1,"C",500.919444444444,1.39669163926335
"CookEast",25,"M",313,5180954.71,493981.21,1999,NA,"SW",597.47,1,"C",500.919444444444,1.19274667139871
"CookEast",25,"N",338,5180985.889,493977.9553,1999,NA,"SW",817.84,1,"C",500.919444444444,1.63267768714198
"CookEast",18,"B",35,5180592.46,493755.9527,1999,NA,"SW",375.12,2,"C",541.966666666667,0.692145888431023
"CookEast",19,"C",59,5180636.942,493770.7974,1999,NA,"SW",328.83,2,"C",541.966666666667,0.606734731533305
"CookEast",20,"D",85,5180671.637,493807.105,1999,NA,"SW",521.78,2,"C",541.966666666667,0.962752936834984
"CookEast",20,"E",112,5180703.406,493818.5884,1999,NA,"SW",528.18,2,"C",541.966666666667,0.974561781167353
"CookEast",21,"F",139,5180719.155,493847.7654,1999,NA,"SW",386.86,2,"C",541.966666666667,0.713807737253214
"CookEast",22,"F",140,5180748.348,493879.7041,1999,NA,"SW",366.02,2,"C",541.966666666667,0.675355187895935
"CookEast",23,"G",166,5180776.892,493893.3211,1999,NA,"SW",397.78,2,"C",541.966666666667,0.733956577895319
"CookEast",23,"H",192,5180808.656,493910.4527,1999,NA,"SW",416.34,2,"C",541.966666666667,0.768202226459192
"CookEast",24,"I",217,5180836.419,493927.1984,1999,NA,"SW",539.23,2,"C",541.966666666667,0.994950488959961
"CookEast",24,"J",242,5180868.172,493955.0929,1999,NA,"SW",666.47,2,"C",541.966666666667,1.22972507534289
"CookEast",25,"K",265,5180890.263,493957.4741,1999,NA,"SW",849.07,2,"C",541.966666666667,1.56664616520081
"CookEast",26,"K",266,5180892.475,493988.0177,1999,NA,"SW",636.5,2,"C",541.966666666667,1.17442647149271
"CookEast",25,"L",288,5180920.051,493979.787,1999,NA,"SW",784,2,"C",541.966666666667,1.4465834307153
"CookEast",26,"L",289,5180924.235,494008.9652,1999,NA,"SW",866.78,2,"C",541.966666666667,1.59932345162679
"CookEast",26,"M",314,5180956.012,494013.119,1999,NA,"SW",466.54,2,"C",541.966666666667,0.860827849191217
"CookEast",19,"A",14,5180574.293,493768.2885,1999,NA,"SW",520.76,3,"C",533.52125,0.976081083930584
"CookEast",20,"A",15,5180576.303,493797.9223,1999,NA,"SW",519.8,3,"C",533.52125,0.974281717925949
"CookEast",22,"C",62,5180655.297,493862.4421,1999,NA,"SW",434.32,3,"C",533.52125,0.81406316992997
